,LAT,LONG,TIMESTAMP
136,-9.0143012340361,-35.222041476998,2020-09-10 23:09:02
137,-9.6443272504427,-35.699499009022,2020-07-17 10:46:01
138,-13.097238955864,-38.75323886915,2020-06-20 16:57:09
139,-24.8527,-47.7072,2020-03-11 23:00:55
140,-8.504167,-35.001111,2021-02-23 20:41:01
141,-5.0899979949677,-36.637047815101,2019-12-08 20:54:57
142,-10.94056,-37.05356,2019-02-26 18:06:21
143,-8.27987415039,-34.947337246109,2018-10-13 17:54:48
145,-7.735599282,-34.826373322,2016-06-15 19:24:43
146,-3.0125319957733,-41.135456085205,2016-10-28 14:33:34
148,-3.6333333333333,-38.716666666667,2018-09-15 21:25:46
150,-24.18349,-46.78935,2018-10-20 21:17:58
151,-26.242777777778,-48.637777777778,2018-11-06 11:38:14
152,-26.242777777778,-48.637777777778,2018-11-10 16:31:19
154,-2.5333,-44.2992,2019-01-27 17:14:31
155,-11.029789,-37.080055,2019-02-05 21:51:00
156,-0.5948620006593,-47.322623297318,2019-02-08 01:11:55
157,-10.9333,-37.0333,2019-09-30 15:34:34
158,-12.99228,-38.446204,2019-10-05 11:40:51
159,-24.8527,-47.7072,2019-12-05 10:52:57
160,-23.9936,-46.2564,2019-12-27 17:50:37
163,-2.4830576117631,-44.254791344886,2020-08-24 16:33:58
164,-27.593,-48.5466,2020-11-01 16:32:53
166,-13.2833,-38.9667,2021-03-20 00:09:19
167,-12.10599,-37.69413,2018-01-07 03:04:23
